"data";"PIB";"Consumo das famílias";"FBKF";"Variação de estoques";"Gastos do Governo";"Exportações Líquidas de Bens e Serviços"
2014-10-01;1,57;0,86;0,19;NA;0,19;0,32
2015-01-01;1,88;1,27;0,15;NA;0,3;0,46
2015-04-01;2,08;1,26;1,81;NA;0,31;-0,54
2015-07-01;2,11;1,29;0,67;NA;0,3;0,14
2015-10-01;2,36;1,2;1,36;NA;0,42;-0,65
2016-01-01;1,87;1,18;1,23;NA;0,44;-1
2016-04-01;2,44;1,12;0,27;NA;0,44;0,44
2016-07-01;1,6;0,92;1;NA;0,4;-0,59
2016-10-01;1,75;1,08;0,71;NA;0,32;-0,37
2017-01-01;2,78;0,97;0,58;NA;0,28;0,62
2017-04-01;1,98;0,88;1,47;NA;0,23;-0,91
2017-07-01;2,69;1,02;0,46;NA;0,29;0,77
2017-10-01;2,75;0,8;0,29;NA;0,27;1,34
2018-01-01;2,27;1;0,68;NA;0,26;0,55
2018-04-01;2,35;0,74;-0,31;NA;0,27;1,8
2018-07-01;1,65;0,57;0,64;NA;0,19;-0,17
2018-10-01;1,38;0,69;0,91;NA;0,22;-0,55
2019-01-01;1,23;0,43;0,82;NA;0,27;-0,06
2019-04-01;1,01;0,64;1,79;NA;0,27;-1,2
