"data";"PIB";"Consumo das famílias";"FBKF";"Gastos do Governo";"Exportações";"Importações"
2004-04-01;2,7;1,6;3,3;1,5;10,1;7,6
2004-07-01;2,1;1,2;1,6;1,3;8;7,7
2004-10-01;1,9;1,8;1,7;1;7,4;7,2
2005-01-01;0,9;1,3;0,8;1,5;3,8;4,7
2005-04-01;1,9;2,2;3,4;1,8;4,8;6,6
2005-07-01;1,7;2,3;3,1;1,2;5,7;6,1
2005-10-01;1,7;1,7;3,2;1,5;5,7;6,3
2006-01-01;3,5;2,3;6,1;1,5;10,6;11,3
2006-04-01;2,7;1,8;4,4;1,6;7,5;7,2
2006-07-01;2,9;1,7;4,3;1,8;7,3;7,1
2006-10-01;3,5;1,9;6,4;3;8,7;7,8
2007-01-01;3,3;1,7;6,4;2;7,6;7,1
2007-04-01;3;1,7;4,7;2,2;7,1;6,2
2007-07-01;3;1,9;4,5;2,6;7,6;7,8
2007-10-01;2,3;1,4;4,3;2,1;5;6
2008-01-01;1,7;1,4;1,7;2,4;4;3,2
2008-04-01;1,5;0,7;1,3;2,8;4,1;3,3
2008-07-01;0,6;0;-1;2,6;1,3;1
2008-10-01;-2,2;-1,1;-6;2,5;-6;-5,6
2009-01-01;-5,6;-1,6;-11,3;2,7;-15,5;-12,4
2009-04-01;-5,9;-1,4;-12,6;2;-16,9;-15,2
2009-07-01;-4,2;-0,7;-10,8;2,9;-12,1;-11,2
2009-10-01;-2;-0,2;-8,2;2,1;-4,4;-5,6
2010-01-01;1,3;0,5;-4,7;1,5;7,1;4,6
2010-04-01;2,5;0,7;1;1;13,6;13
2010-07-01;2,4;1,2;1;0,5;11,8;10,5
2010-10-01;2,4;1,2;1,6;0,3;11,7;10,6
2011-01-01;3,1;0,6;4,2;-0,1;11,7;9,9
2011-04-01;1,9;0,5;1,2;0,1;6,6;4,4
2011-07-01;1,5;0,2;1;-0,4;5,4;3,5
2011-10-01;0,2;-1;0;-0,1;2,6;-0,4
2012-01-01;-0,2;-0,4;-1,4;0;2,9;-0,6
2012-04-01;-1,2;-1,2;-3,1;-0,4;2,1;-1,7
2012-07-01;-1,2;-1,4;-4;-0,5;2;-1,9
2012-10-01;-1,1;-1,2;-4,2;-0,4;1,9;-0,9
2013-01-01;-1,8;-1,8;-5,9;-0,4;-0,4;-2
2013-04-01;-0,3;-0,9;-3,3;0,1;2,1;0,9
2013-07-01;0,4;-0,2;-0,9;0,5;2,4;2,8
2013-10-01;0,6;0,1;0,4;0,6;3,1;3,7
2014-01-01;1,7;0,5;3,3;0,8;4,6;4,9
2014-04-01;1;0,7;0,8;0,9;3,6;4,5
2014-07-01;1,4;1;1;0,8;5,2;5
2014-10-01;1,6;1,3;0,7;0,6;5,8;5,5
2015-01-01;1,9;1,9;0,5;1,1;7,7;7,3
2015-04-01;2,1;1,9;8,7;1,2;7,4;9,5
2015-07-01;2,1;1,9;3,1;1,2;5,7;5,9
2015-10-01;2,4;1,8;6,4;1,7;5,8;7,9
2016-01-01;1,9;2,2;6,6;2,1;1,8;4,4
2016-04-01;2,4;2,1;1,3;2,1;4,1;3,5
2016-07-01;1,6;1,7;5,2;1,9;2,7;4,4
2016-10-01;1,8;2;3,5;1,5;3,1;4,3
2017-01-01;2,8;1,8;3;1,4;6,6;5,7
2017-04-01;2;1,6;7,1;1,1;3,9;6,5
2017-07-01;2,7;1,9;2,3;1,4;5,3;4
2017-10-01;2,8;1,5;1,4;1,3;6,4;3,9
2018-01-01;2,3;1,8;3,5;1,3;3,7;2,8
2018-04-01;2,3;1,4;-1,4;1,3;4,5;0,7
2018-07-01;1,6;1;3,2;0,9;3;3,8
2018-10-01;1,4;1,3;4,3;1;2,1;3,6
2019-01-01;1,2;0,8;4,1;1,3;3;3,4
2019-04-01;1;1,2;8,4;1,3;2,1;5,1
